PUC_Maximo_Asset_ID,DPW_Node_ID,Drain_Type,SYSTEM,System_Use_Code,System_Use,lng,lat
50767,50767,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11418929,29.94814724
50768,50768,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13499327,29.94810529
50769,50769,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13490368,29.94803698
50770,50770,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13529462,29.94816552
50771,50771,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13520651,29.94773542
50772,50772,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13518458,29.94723094
50773,50773,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13516488,29.94707891
50774,50774,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13475239,29.94719201
50775,50775,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13465766,29.94725363
50776,50776,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13473162,29.94706934
50777,50777,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13464869,29.94698485
50778,50778,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13449028,29.94697216
50779,50779,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13440829,29.94704765
50780,50780,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13418302,29.94740365
50781,50781,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13429713,29.94746156
50782,50782,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13389263,29.94768596
50783,50783,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13397588,29.94774358
50784,50784,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13397784,29.9478792
50785,50785,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13388682,29.94793023
50786,50786,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13423641,29.94809589
50787,50787,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13341776,29.94809405
50788,50788,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13352632,29.94813566
50789,50789,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.133655,29.9477569
50790,50790,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13372769,29.94767883
50791,50791,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13307532,29.9472742
50792,50792,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13314797,29.94719925
50793,50793,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13257534,29.94744336
50794,50794,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13275257,29.94744247
50795,50795,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13320022,29.94703101
50796,50796,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13310108,29.94698136
50797,50797,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1333559,29.94673436
50798,50798,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13345823,29.94675716
50799,50799,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13382503,29.94656492
50800,50800,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13390107,29.94650625
50801,50801,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13283799,29.94708207
50802,50802,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13291048,29.94702024
50803,50803,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13242177,29.94774315
50804,50804,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13231054,29.94768527
50805,50805,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13241078,29.94788115
50806,50806,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13231951,29.94795343
50807,50807,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13210353,29.94777524
50808,50808,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13216389,29.9477083
50809,50809,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1322212,29.94658278
50810,50810,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13230305,29.94651854
50811,50811,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13187945,29.94678025
50812,50812,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13176443,29.94673858
50813,50813,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13147485,29.94701276
50814,50814,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13156371,29.94708168
50815,50815,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13155279,29.94721406
50816,50816,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13148111,29.94726777
50817,50817,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1313312,29.94702519
50818,50818,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13125603,29.94707075
50819,50819,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13098966,29.94744262
50820,50820,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13108864,29.94750539
50821,50821,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13080215,29.94776085
50822,50822,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13072196,29.94768701
50823,50823,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13054994,29.94773105
50824,50824,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13045876,29.94779583
50825,50825,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1307153,29.94800126
50826,50826,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13080942,29.94793151
50827,50827,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12977976,29.94727971
50828,50828,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12988057,29.94719065
50829,50829,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12982601,29.94707392
50830,50830,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13014088,29.94678623
50831,50831,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13059211,29.94655415
50832,50832,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.13065537,29.94648474
50833,50833,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12937216,29.94752281
50834,50834,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12935814,29.94690092
50835,50835,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12942417,29.94683966
